Time,Gx,Gy,Gz
40.88,48.36,11.26,-3.73
40.96,41.85,7.44,-4.53
41.03,26.62,16.16,-3.41
41.1,9.84,3.89,-0.14
41.16,-6.62,2.42,1.14
41.23,-13.47,-7.25,3.61
41.3,-3.9,-0.58,0.67
41.36,-3.65,-1.39,0.74
41.43,2.5,8.07,-1.18
41.5,2.99,1.35,0.3
41.56,-1.18,4.13,-0.03
41.63,-1.28,2.65,-0.31
41.7,-0.05,4.25,-0.86
41.76,-9.86,11.5,-3.28
41.83,-24.62,6.36,-2.23
41.9,-79.76,5.93,-4.59
41.96,-52.93,11.65,-8.08
42.03,-60.58,14.32,2.44
42.1,-25.9,31.8,-15.78
42.16,-3.89,25.53,-23.0
42.23,7.04,27.46,-12.31
42.3,33.53,28.83,0.74
42.36,30.31,12.31,1.48
42.43,20.44,-0.09,13.6
42.5,24.25,-7.15,7.22
42.56,10.92,-17.47,6.17
42.63,7.93,-23.09,2.83
42.7,10.77,-33.27,5.97
42.76,22.17,-19.26,-9.08
42.83,43.22,-2.47,0.55
42.9,57.45,-6.61,3.94
42.96,71.21,-18.5,-17.62
43.03,83.4,-4.16,-6.61
43.1,115.33,-23.15,15.83
43.16,128.63,-33.74,8.55
43.23,124.94,-20.93,29.81
43.3,136.67,3.84,23.28
43.36,156.21,42.09,-10.09
43.43,166.6,36.02,9.5
43.5,196.94,25.06,0.85
43.56,191.56,-6.71,8.18
43.63,184.84,-3.06,-4.54
43.7,147.58,35.02,-20.33
43.76,82.1,-0.77,-30.23
43.83,36.21,-11.82,-11.44
43.9,15.37,2.14,-10.25
43.96,13.6,-5.21,-1.97
44.03,9.21,-1.51,0.21
44.1,7.1,0.68,0.22
44.16,7.09,4.0,0.13
44.23,4.26,2.49,1.15
44.3,3.01,0.55,5.99
44.36,1.43,3.02,4.49
44.43,-6.21,2.75,9.33
44.5,-27.03,-2.96,11.22
44.56,-51.86,1.04,-0.5
44.63,-55.88,-11.5,-10.96
44.7,-86.82,-22.21,-25.55
44.77,-139.09,-11.96,-14.17
44.83,-132.24,39.17,-13.86
44.9,-173.26,14.01,-41.67
44.96,-165.44,24.79,-25.66
45.03,-139.62,18.72,-24.76
45.1,-147.5,0.75,-37.59
45.18,-130.73,-3.4,-19.92
45.25,-102.9,6.32,6.88
45.31,-79.62,-4.75,-9.42
45.38,-65.96,-3.61,-30.12
45.45,-49.63,-0.05,-23.63
45.51,-32.27,3.13,-29.03
45.58,5.95,4.15,-15.36
45.65,6.47,1.17,-6.03
45.71,5.72,2.21,-3.69
45.78,7.51,1.44,-0.41
45.85,7.07,3.47,1.42
45.91,9.38,2.37,-0.03
45.98,9.57,3.93,1.16
46.05,9.77,2.84,3.74
46.11,8.14,5.88,1.14
46.18,8.58,3.03,-0.25
46.25,8.44,0.26,-0.2
46.31,5.42,-1.14,-0.29
46.38,6.75,1.81,1.1
46.47,6.11,-0.4,-0.0
46.53,5.61,2.86,-1.08
46.6,4.46,-6.84,-4.27
46.66,8.72,8.23,3.41
46.73,4.83,0.5,-1.62
46.8,6.44,5.41,1.38
46.86,5.01,1.78,0.95
46.93,2.76,-0.77,0.01
47.0,9.37,3.75,1.43
47.06,7.55,2.86,0.37
47.12,8.14,0.41,0.08
47.19,8.29,0.32,0.29
47.26,6.3,1.98,-1.03
47.32,6.6,2.04,1.09
47.39,6.27,-0.2,1.24
47.45,6.38,-0.04,-1.98
47.52,6.11,3.37,1.2
47.58,6.67,3.41,1.93
47.65,6.03,-1.26,0.3
47.71,3.81,-0.95,1.85
47.78,2.8,1.03,-0.52
47.85,8.06,3.9,2.68
47.91,6.88,1.29,0.93
47.98,8.89,-0.63,-0.75
48.05,3.85,2.41,0.89
48.11,6.76,2.0,1.82
48.18,6.57,1.56,2.82
48.25,6.71,1.83,1.72
48.31,6.82,2.17,-0.06
48.38,5.01,2.04,1.28
48.45,8.35,2.24,0.89
48.51,6.83,2.76,0.99
48.58,7.39,-0.92,-1.05
48.65,2.95,-1.2,-0.02
48.71,6.19,-1.03,0.01
48.78,5.23,0.67,-0.25
48.85,5.63,-1.12,-0.17
48.91,6.2,4.01,0.75
48.98,4.83,2.46,1.36
49.05,5.55,0.17,0.87
49.11,4.49,3.68,1.73
49.18,2.64,1.39,1.24
49.25,2.55,-0.1,1.15
49.31,-0.54,-3.85,-0.49
49.38,-2.36,-3.4,0.64
49.45,-12.21,-6.96,7.97
49.51,-14.02,-5.57,1.47
49.58,-13.03,-2.79,3.83
49.65,-14.27,-2.24,1.22
49.71,-14.73,-10.2,3.02
49.78,-15.13,-7.42,2.13
49.85,-19.51,-8.1,4.78
49.91,-19.59,-1.07,5.64
49.98,-18.46,-8.53,5.99
50.05,-21.76,-1.96,10.3
50.11,-21.92,-3.71,-2.11
50.18,-25.47,-2.9,-6.06
50.25,-31.7,-6.04,-8.4
50.31,-62.16,0.56,-18.57
50.38,-66.46,0.26,-20.44
50.45,-88.96,0.94,-33.07
50.51,-83.89,-0.81,-33.53
50.58,-82.3,6.36,-16.42
50.65,-64.57,7.02,-11.15
50.71,-63.3,6.14,-14.65
50.78,-66.69,-11.22,-9.66
50.85,-62.84,-5.78,-11.55
50.91,-43.62,-2.3,-6.37
50.98,-43.65,1.39,-0.95
51.05,-36.26,3.66,-12.72
51.11,-39.27,1.33,-14.33
51.18,-36.01,-2.29,-13.87
51.25,-30.77,4.87,-13.91
51.31,-25.91,1.85,-11.99
51.38,-5.24,-2.11,-15.2
51.45,4.14,-1.59,-8.15
51.51,5.67,-0.29,-2.57
51.58,27.59,-2.27,8.29
51.65,74.16,-12.63,13.32
51.71,148.14,-14.23,21.59
51.78,146.11,7.65,4.59
51.85,171.53,46.24,-11.16
51.91,173.23,25.82,1.2
51.98,161.88,33.41,27.79
52.05,139.51,6.5,11.35
52.11,121.0,-4.33,22.98
52.18,119.76,-12.96,20.39
52.25,109.14,-2.48,10.36
52.31,110.1,8.72,9.41
52.38,99.42,-2.54,10.43
52.45,122.04,36.67,16.67
52.51,133.19,12.17,23.93
52.58,142.08,27.52,31.97
52.65,141.86,5.13,30.17
52.71,164.92,7.93,38.1
52.78,171.62,-20.26,30.79
52.85,143.97,-27.83,15.94
52.91,134.78,-22.09,-4.55
52.98,132.98,-25.57,-25.4
53.05,150.4,-22.86,-2.96
53.11,132.19,-17.06,6.63
53.18,61.28,-9.53,11.31
53.25,31.68,-12.2,-3.6
53.31,11.13,1.72,4.05
53.38,1.41,2.26,4.7
53.45,-17.77,10.05,13.66
53.53,-30.92,2.38,9.95
53.6,-65.65,6.79,14.41
53.66,-102.87,10.25,10.76
53.73,-177.18,25.59,-15.92
53.8,-210.28,34.84,-31.68
53.86,-207.37,51.8,-18.52
53.93,-187.89,41.7,-24.51
54.0,-200.92,28.19,-49.34
54.06,-215.93,22.36,-30.33
54.13,-205.42,19.41,-30.69
